"Agency","Fiscal_Year","Program_Name","Gaa1","raa7","raa6"
"HHS","2023","Food and Drug Administration (FDA) - Animal Drugs and Feed","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Buildings and Facilities","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Center for Biologics","Yes","","Yes"
"HHS","2023","Food and Drug Administration (FDA) - Center for Devices and Radiological Health","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Coronavirus Emergency Funding Supplemental","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - CURES Activities","Yes","","Yes"
"HHS","2023","Food and Drug Administration (FDA) - Foods","Yes","","Yes"
"HHS","2023","Food and Drug Administration (FDA) - GSA Rental Payments","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Human Drugs","Yes","","Yes"
"HHS","2023","Food and Drug Administration (FDA) - National Center for Toxicological Research","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Opioids - International Mail Facilities (IMF)","Yes","","Yes"
"HHS","2023","Food and Drug Administration (FDA) - Other Headquarters Activities","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Other Rent and Rent Related Activities","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Payment to FDA Innovation","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Reimbursable Program - Federal Sources","Yes","","Yes"
"HHS","2023","Food and Drug Administration (FDA) - User fees (Non General Fund)","Yes","",""
"HHS","2023","Food and Drug Administration (FDA) - Working Capital Fund","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Compensation Claims for Post-FY 1989 Injuries","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Health Care Systems","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Health Workforce","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","Yes","","Yes"
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Mandatory)","Yes","","Yes"
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal, Infant, and Early Childhood Home Visiting Programs","Yes","","Yes"
"HHS","2023","Health Resources and Services Administration (HRSA) - Primary Health Care","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Primary Health Care Health Centers and Free Clinics","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Program Management","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Reimbursable","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Rural Health","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","Yes","",""
"HHS","2023","Health Resources and Services Administration (HRSA) – COVID-19 Claims Reimbursement to Health Care Providers and Facilities for Testing, Treatment, and Vaccine Administration for the Uninsured Program (UIP)","Yes","",""
"HHS","2023","Indian Health Service (IHS) -  Purchased/Referred Care (Clinical Services)","Yes","","Yes"
"HHS","2023","Indian Health Service (IHS) - Alcohol and Substance Abuse (Clinical Services)","No","",""
"HHS","2023","Indian Health Service (IHS) - Community Health Representatives (Preventive health)","No","",""
"HHS","2023","Indian Health Service (IHS) - Contract Support Costs","Yes","",""
"HHS","2023","Indian Health Service (IHS) - Dental Services (Clinical Services)","No","",""
"HHS","2023","Indian Health Service (IHS) - Diabetes Fund","No","",""
"HHS","2023","Indian Health Service (IHS) - Direct Operations","No","",""
"HHS","2023","Indian Health Service (IHS) - Electronic Health Record System (Clinical Services)","No","",""
"HHS","2023","Indian Health Service (IHS) - Equipment","No","",""
"HHS","2023","Indian Health Service (IHS) - Facilities and Environmental Health","No","",""
"HHS","2023","Indian Health Service (IHS) - Health Education (Preventive Health)","No","",""
"HHS","2023","Indian Health Service (IHS) - Hospitals and Health Clinics (Clinical Services)","Yes","",""
"HHS","2023","Indian Health Service (IHS) - Indian Health Care Improvement Fund (clinical Services)","No","",""
"HHS","2023","Indian Health Service (IHS) - Indian Health Professions","No","",""
"HHS","2023","Indian Health Service (IHS) - Indian Health Services (Reimbursable)","No","",""
"HHS","2023","Indian Health Service (IHS) - Maintenance","No","",""
"HHS","2023","Indian Health Service (IHS) - Mental Health (Clinical Services)","No","",""
"HHS","2023","Indian Health Service (IHS) - Sanitation and Health Facilities","No","",""
"HHS","2023","Indian Health Service (IHS) - Section 105(l) Leases","No","",""
"HHS","2023","Indian Health Service (IHS) - Urban Health","No","",""
"HHS","2023","Indian Health Service (IHS) -Public Health Nursing (Preventive Health)","No","",""
"HHS","2023","National Institutes of Health (NIH) - Buildings and Facilities","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - Eunice K. Shriver National Institute of Child Health and Human Development","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - Fogarty International Center","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Cancer Institute","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Cancer Institute Frederick National Laboratory for Cancer Research/Federally Funded Research and Development Centers","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Center for Advancing Translational Sciences","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Center for Complementary and Integrative Health","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Eye Institute","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Heart, Lung, and Blood Institute","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Human Genome Research Institute","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Allergy and Infectious Diseases","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute of Arthritis and Musculoskeletal and Skin Diseases","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute of Biomedical Imaging and Bioengineering","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute of Dental and Craniofacial Research","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute of Diabetes and Digestive and Kidney Diseases","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute of Environmental Health Sciences","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Institute of General Medical Sciences","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute of Mental Health","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute of Neurological Disorders and Stroke","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute on Aging","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Alcohol Abuse and Alcoholism","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Deafness and Communication Disorders","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Drug Abuse","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Institute on Minority Health and Health Disparities","Yes","","Yes"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Nursing Research","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - National Library of Medicine","Yes","",""
"HHS","2023","National Institutes of Health (NIH) - Office of the Director","Yes","",""
"HHS","2023","National Institutes of Health (NIH) National Institute of Allergy and Infectious Diseases (NIAID)","Yes","",""
"HHS","2023","National Institutes of Health (NIH) National Institute of Environmental Health Sciences (NIEHS)","Yes","",""
"HHS","2023","Office of the National Coordinator for Health Information Technology (ONC) Public Health Informatics & Technology (PHIT) Workforce Development Program","Yes","","Yes"
"HHS","2023","Office of the National Coordinator for Health Information Technology (ONC) The ONC IIS HIE COVID-19 Data Management","Yes","","Yes"
"HHS","2023","Office of the Secretary (OS) Office of the National Coordinator for Health Information Technology (ONC) Public Health Informatics & Technology (PHIT) Workforce Development Program","Yes","",""
"HHS","2023","Office of the Secretary (OS) Office of the National Coordinator for Health Information Technology (ONC) The ONC IIS HIE COVID-19 Data Management","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Certified Community Behavioral Health Clinics","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Disaster Relief","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Homelessness Prevention Programs","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Linking Actions for Unmet Needs in Children's Health (Project LAUNCH)","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Projects for the Assistance in Transition from Homelessness","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - State Opioid Response","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Alcohol and Substance Abuse Prevention","Yes","","Yes"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Emergency Grants to Address Mental and Substance Use Disorders During COVID-19 - Disaster Relief","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Health Surveillance and Program Support","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Mental Health","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Substance Abuse Prevention","Yes","",""
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Substance Abuse Treatment","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Adoption and Legal Guardianship Incentive Payments","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Adoption Assistance","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Adoption Opportunities","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Affordable Care Act (ACA) Personal Responsibility Education Program","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Assistance for Torture Victims","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Basic Center Grant","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Chafee Education and Training Vouchers Program (ETV)","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Child Abuse and Neglect Discretionary Activities","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Child Abuse and Neglect State Grants","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Child Support Enforcement","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Child Support Enforcement Research","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Child Welfare Research Training or Demonstration","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Children's Justice Grants to States","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Community Services Block Grant","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Community Services Block Grant Discretionary Awards","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Community-Based Child Abuse Prevention Grants","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Congressional Directives","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Enhance Safety of Children Affected by Substance Abuse","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Every Student Succeeds Act/Preschool Development Grants","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Discretionary","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/State Domestic Violence Coalitions","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Grants to States for Access and Visitation Programs","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Grants to Support Survivors of Sexual Assault (American Rescue Plan)","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Guardianship Assistance","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Healthy Marriage Promotion and Responsible Fatherhood Grants","Yes","","Yes"
"HUD","2021","Public and Indian Housing - Choice Neighborhoods Initiative","Yes","","No"
"HHS","2024","Administration for Children and Families (ACF) - John H. Chafee Foster Care Program for Successful Transition to Adulthood","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Low-Income Home Energy Assistance","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - MaryLee Allen Promoting Safe and Stable Families Program","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Native American Programs","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Payments to Territories - Adults","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Promote the Survival and Continuing Vitality of Native American Languages","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Discretionary Grants","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance State/Replacement Designee Administered Programs","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Voluntary Agency Programs","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Wilson/Fish Program","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Services to Victims of a Severe Form of Trafficking","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Sexual Risk Avoidance Education","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Social Services Block Grant","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Social Services Research and Demonstration","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - State Court Improvement Program","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Stephanie Tubbs Jones Child Welfare Services Program","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Title IV-E Kinship Navigator Program","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Title IV-E Prevention Program","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Title V Sexual Risk Avoidance Education Program (Discretionary Grants)","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Title V State Sexual Risk Avoidance Education (Title V State SRAE) Program","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Transitional Living for Homeless Youth","Yes","",""
"HHS","2024","Administration for Children and Families (ACF) - Tribal Maternal, Infant, and Early Childhood Home Visiting","Yes","","Yes"
"HHS","2024","Administration for Children and Families (ACF) - Unaccompanied Alien Children Program","Yes","","Yes"
"HHS","2024","Administration for Community Living (ACL) - Aging Discretionary Programs","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - Alzheimers Programs","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - Assistive Technology Programs","Yes","","Yes"
"HHS","2024","Administration for Community Living (ACL) - Court Improvement Program (CIP) Discretionary Programs","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - Court Improvement Program (CIP) Formula Programs","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - Developmental Disabilities (DD) Council Formula Program","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - Disabilities Discretionary Programs","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - Independent Living Programs","Yes","","Yes"
"HHS","2024","Administration for Community Living (ACL) - Nutrition Services Incentive Program (NSIP) Formula Program","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - Protection & Advocacy Programs","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - State Aging Formula Programs","Yes","",""
"HHS","2024","Administration for Community Living (ACL) - Tribal Aging Formula Program","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Biomedical Advanced Research and Development Authority Contract Management and Acquisitions and Business Planning and Strategy","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Biomedical Advanced Research and Development Authority Management Operations","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Biomedical Advanced Research and Development Authority Medical Countermeasures Program","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Biomedical Advanced Research and Development Authority Medical Countermeasures Program Support Services","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Analytics, Data, and IT","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Operations Technical Assistance","Yes","",""
"MCC","2023","Threshold Programs","Yes","","Yes"
"MCC","2024","Administrative Expenses - Millennium Challenge Corporation","Yes","",""
"MCC","2024","Compact Assistance","Yes","",""
"MCC","2024","Compact Development Funding","Yes","",""
"MCC","2024","Due Diligence","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Planning and Operational Coordination","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Security and Assurance","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Supply, Production, and Distribution","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Advanced Manufacturing Technologies","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Defense Production Act and Emergency Response Authorities","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Optimization","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Personal Protective Equipment and Durable Medical Equipment","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Testing and Diagnostics","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Administration Acquisitions","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Administration Finance","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Preparedness Programs Health Care Readiness","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Preparedness Programs Security and Intelligence","Yes","",""
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Community Mitigation and Recovery","Yes","","Yes"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs National Disaster Medical System","Yes","","Yes"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Regional Response","Yes","","Yes"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Response Logistics","Yes","","Yes"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile Logistics","Yes","","Yes"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile Management and Business Operations","Yes","","Yes"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile National Readiness and Response","Yes","","Yes"
"HHS","2024","Agency for Healthcare Research and Quality (AHRQ) - Medical Expenditure Panel Survey","Yes","","Yes"
"HHS","2024","Agency for Healthcare Research and Quality (AHRQ) - Program Support","Yes","",""
"HHS","2024","Agency for Healthcare Research and Quality (AHRQ) - Research on Health Costs, Quality, and Outcomes","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Center for Preparedness and Response","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Global Health Center","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Chronic Disease Prevention and Health Promotion (NCCDPHP)","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Emerging and Zoonotic Infectious Diseases (NCEZID)","Yes","",""
"MCC","2024","Threshold Programs","Yes","",""
"MSPB","2023","Merit System Protection Board - Salaries and Expenses","Yes","","Yes"
"NARA","2021","Administrative Overhead","Yes","","No"
"NARA","2021","Agency Services","Yes","","No"
"NARA","2021","Legislative Archives, Presidential Libraries, and Museum Services","Yes","","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Environmental Health (NCEH)/Agency for Toxic Substances and Disease Registry (ATSDR)","Yes","","Yes"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Health Statistics (NCHS)","Yes","","Yes"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for HIV, Viral Hepatitis, STD, and TB Prevention","Yes","","Yes"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Immunization and Respiratory Diseases (NCIRD)","Yes","","Yes"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Injury Prevention and Control (NCIPC)","Yes","","Yes"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for State, Tribal, Local, and Territorial Public Health Infrastructure and Workforce","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center on Birth Defects and Developmental Disabilities (NCBDDD)","Yes","","Yes"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Institute for Occupational Safety and Health (NIOSH)","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Communications","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Health Equity","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Laboratory Science and Safety (OLSS)","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Policy, Performance, and Evaluation","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Science","Yes","","Yes"
"NARA","2021","Office of the Inspector General - National Archives & Records Administration","Yes","","No"
"NARA","2022","Administrative Overhead","Yes","","No"
"NARA","2022","Agency Services","Yes","","No"
"NARA","2022","Legislative Archives, Presidential Libraries, and Museum Services","Yes","","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of the Chief of Staff","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of the Chief Operating Officer","Yes","",""
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of the Director","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part A)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part B)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - ACO REACH Model","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Administration (Innovation)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Basic Health Program","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Building Innovation Pipeline","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Bundled Payments for Care Improvement Advanced Model","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Consolidated Appropriations Act of 2021 Implementation Fund","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Coronavirus Supplemental","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - ESRD Networks","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Exchange Program Integrity","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Federal Administration (Medicare Fee-for-Service)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Federal Exchange Operations","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Financial Alignment Initiative for Medicare-Medicaid Enrollees","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Home Health Service Prior Authorization","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Inflation Reduction Act Implementation Fund","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Integrated Care for Kids Model","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Kidney Care Choices (Benefits)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Kidney Care Choices Model","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Learning Networks","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Maryland Total Cost of Care (Benefits)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Maryland Total Cost of Care Model","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Meaningful Use of EHRs","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicaid Adult Quality Measures","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicaid Fraud Control Units","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicaid Home Health Planning Grants","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicaid Integrity Program","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicaid Program Integrity","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare Enrollment","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare Independence at Home (Benefits)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare Operations Anomaly","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare Program Integrity","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare Shared Savings (Hospital Insurance)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare Shared Savings (Supplementary Medical Insurance)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Medicare-Medicaid Coordination","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Money Follows the Person Demonstration","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Navigator Grants","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - No Surprises Act Implementation Fund","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Oncology Care Model (Benefits)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Over the Counter COVID-19 Test Benefits","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Part D Redesign Implementation","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Primary Care First (Benefits)","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Primary Care First Model Options","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Private Insurance Innovation Waivers","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Private Insurance Risk Adjustment Program","Yes","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Program Operations (Medicare Fee-for-Service)","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Administration","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Beneficiary and Family Centered Care","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Clinical Quality Improvement","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - SNF Infection Control Support","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Support Contracts","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Quality Measure Endorsement","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Research (Medicare Fee-for-Service)","Yes","","Yes"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - State Strike Teams for Resident & Employee Safety","No","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Strike Teams for Resident & Employee Safety","No","",""
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - Survey and Certification (Grants to States for Medicaid)","Yes","","Yes"
