"Agency","Last_Risk_Assessment","Program_Name"
"HHS","2024","National Institutes of Health (NIH) - Advanced Research Projects Agency for Health"
"HHS","2023","National Institutes of Health (NIH) - Buildings and Facilities"
"HHS","2023","National Institutes of Health (NIH) - National Cancer Institute"
"HHS","2023","National Institutes of Health (NIH) - National Cancer Institute Frederick National Laboratory for Cancer Research/Federally Funded Research and Development Centers"
"HHS","2024","National Institutes of Health (NIH) - National Center for Advancing Translational Sciences"
"HHS","2024","National Institutes of Health (NIH) - National Center for Complementary and Integrative Health"
"HHS","2024","National Institutes of Health (NIH) - National Eye Institute"
"HHS","2023","National Institutes of Health (NIH) - National Heart, Lung, and Blood Institute"
"HHS","2023","National Institutes of Health (NIH) - National Human Genome Research Institute"
"HHS","2024","National Institutes of Health (NIH) - National Institute of Arthritis and Musculoskeletal and Skin Diseases"
"HHS","2024","National Institutes of Health (NIH) - National Institute of Dental and Craniofacial Research"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Environmental Health Sciences"
"HHS","2024","National Institutes of Health (NIH) - National Institute of Neurological Disorders and Stroke"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Aging"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Alcohol Abuse and Alcoholism"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Deafness and Communication Disorders"
"HHS","2024","National Institutes of Health (NIH) - National Institute on Drug Abuse"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Minority Health and Health Disparities"
"HHS","2024","National Institutes of Health (NIH) - National Institute on Nursing Research"
"HHS","2024","National Institutes of Health (NIH) - National Library of Medicine"
"HHS","2022","National Institutes of Health (NIH) National Institute of Allergy and Infectious Diseases (NIAID)"
"HHS","2022","National Institutes of Health (NIH) Rapid Acceleration of Diagnostics"
"HHS","2021","National Institutes of Health (NIH) Small Business Innovation Research"
"NLRB","2023","National Labor Relations Board"
"IMLS","2024","National Leadership Grants for Libraries"
"IMLS","2024","National Leadership Grants for Museums"
"DOC","2023","National Oceanic and Atmospheric Administration (NOAA)"
"DOC","2024","National Oceanic and Atmospheric Administration (NOAA) - Grants"
"DOC","2024","National Oceanic and Atmospheric Administration (NOAA) - Labor and Payments to Employees"
"DOC","2023","National Oceanic and Atmospheric Administration (NOAA) - Loans, IPACs, Other"
"DOC","2024","National Oceanic and Atmospheric Administration (NOAA) - Purchase Orders and Contracts"
"DOI","2024","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Bureau of Land Management, Interior - GAOA"
"DOI","2023","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior - GAOA 1414X5715.011"
"DOI","2023","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, Interior - GAOA XXXP571550"
"DOI","2022","National Parks and Public Land Legacy Restoration Fund, Department-Wide Programs, National Park Service, Interior"
"DOI","2022","National Parks and Public Land Legacy Restoration Fund, U.S. Fish and Wildlife Services, Department-Wide Programs, Interior"
"DOI","2022","National Recreation and Preservation, National Park Service, Interior"
"ED","2022","National Resource Centers Program for Foreign Language and Area Studies or Foreign Language and International Studies Program and Foreign Language and Area Studies Fellowship Program"
"VA","2024","National Service Life Insurance"
"CNCS","2023","National Service Trust"
"DOC","2023","National Technical Information Service (NTIS)"
"DOC","2022","National Technical Information Service (NTIS) - (Collect and Disseminate Technical Information - Clearinghouse Program)"
"ED","2022","National Technical Institute for the Deaf"
"DOC","2023","National Telecommunications and Information Administration (NTIA)"
"DOC","2023","National Telecommunications and Information Administration (NTIA) - Broadband Equity, Access, and Deployment Program"
"DOC","2023","National Telecommunications and Information Administration (NTIA) - Broadband Infrastructure Program & Tribal Broadband Connectivity Program"
"DOC","2022","National Telecommunications and Information Administration (NTIA) - Broadband Technology Opportunities Program"
"DOC","2024","National Telecommunications and Information Administration (NTIA) - Connecting Minority Communities Pilot Program"
"DOC","2021","National Telecommunications and Information Administration (NTIA) - Digital Television Transition and Public Safety Fund, excluding TV Converter Box Coupon Program and Public Safety Interoperable Communications"
"DOC","2022","National Telecommunications and Information Administration (NTIA) - Domestic and International Policies and Advanced Communications Research; Spectrum Management; Public Safety Communications"
"DOC","2024","National Telecommunications and Information Administration (NTIA) - First Responder Network Authority"
"DOC","2024","National Telecommunications and Information Administration (NTIA) - Middle Mile Program"
"DOC","2023","National Telecommunications and Information Administration (NTIA) - Non-FirstNet Activity included in a) Public Safety Trust Fund; and b) Network Construction Fund"
"DOC","2021","National Telecommunications and Information Administration (NTIA) - Public Telecommunications Facilities Program"
"DOC","2024","National Telecommunications and Information Administration (NTIA) -Digital Equity Program"
"DOI","2022","National Wildlife Refuge Fund, U.S. Fish and Wildlife Service, Interior"
"ED","2022","Native Hawaiian Education"
"DOI","2022","Natural Resource Damage Assessment and Restoration Fund, Office of the Secretary, Interior"
"DOI","2022","Natural Resource Damage Assessment and Restoration Fund, U.S. Fish and Wildlife Service, Interior"
"USDA","2024","Natural Resources Conservation Service (NRCS) Conservation Programs"
"USDA","2022","Natural Resources Conservation Service (NRCS) Conservation Technical Assistance"
"USDA","2023","Natural Resources Conservation Service (NRCS) Emergency Watershed Protection Program"
"USDA","2024","Natural Resources Conservation Service (NRCS) Partnership for Climate-Smart Commodities"
"USDA","2023","Natural Resources Conservation Service (NRCS) Plant Materials Centers"
"USDA","2022","Natural Resources Conservation Service (NRCS) Snow Survey and Water Supply Forecasting"
"USDA","2023","Natural Resources Conservation Service (NRCS) Soil Surveys"
"USDA","2024","Natural Resources Conservation Service (NRCS) Watershed Programs (excluding Emergency Watershed Program)"
"NASA","2023","New Frontiers"
"VA","2022","Non-Medical Contracts and Agreements"
"CPSC","2024","Non-Payroll"
"DOI","2022","North American Wetlands Conservation Fund, United States Fish and Wildlife Service, Interior"
"DOC","2021","NTIA - Information Infrastructure Grants"
"DOL","2023","Occupational Safety and Health Administration"
"DOI","2022","Ocean Energy Management, Bureau of Ocean Energy Management, Interior - IRA 226M19175D"
"USAID","2023","OE Operating Expense"
"SBA","2022","OED Resource Partners Training Portal (RPTP)"
"VA","2024","Off-Station Provider Services"
"VA","2024","Office of Acquisition, Logistics and Construction (Major/Minor Construction)"
"USDA","2023","Office of Civil Rights (OCR) Salaries and Expenses"
"DOL","2024","Office of Disability Employment Policy"
"DOL","2024","Office of Federal Contract Compliance Programs"
"TREASURY","2024","Office of Financial Stability - Home Affordable Modification Program"
"TREASURY","2024","Office of Financial Stability - Salaries and Expenses"
"HUD","2024","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction"
"CNCS","2022","Office of Human Capital (Payroll)"
"VA","2024","Office of Information & Technology"
"DHS","2024","Office of Inspector General (OIG) - Audits, Inspections, & Investigations"
"DOC","2024","Office of Inspector General (OIG) - Department of Commerce "
"USDA","2023","Office of Inspector General (OIG) Disaster Related Appropriations"
"VA","2022","Office of Inspector General - Department of Veteran's Affairs"
"HUD","2023","Office of Inspector General - Other Contractual Services"
"DOT","2023","Office of Inspector General Salaries and Expenses"
"DHS","2022","Office of Intelligence, Analysis, and Situational Awareness - Analysis and Operations"
"TREASURY","2024","Office of International Assistance - Clean Tech Fund Loans Financing Acct"
"TREASURY","2022","Office of International Assistance - Contribution to African Development Bank"
"TREASURY","2023","Office of International Assistance - Contribution to African Development Fund"
"TREASURY","2023","Office of International Assistance - Contribution to European Bank for Reconstruction"
"TREASURY","2024","Office of International Assistance - Contribution to International Bank Reconstruction"
"TREASURY","2023","Office of International Assistance - Contribution to International Development Association"
"TREASURY","2023","Office of International Assistance - Contribution to the Asian Development Fund"
"TREASURY","2024","Office of International Assistance - Economic Support Fund"
"TREASURY","2023","Office of International Assistance - Global Environment Facility"
"TREASURY","2023","Office of International Assistance - Global Food Security"
"TREASURY","2021","Office of International Assistance - Global Food Security Fund"
"TREASURY","2023","Office of International Assistance - International Fund for Agriculture Development"
"DOL","2022","Office of Labor-Management Standards"
"DOI","2022","Office of Natural Resources Revenue, Department-Wide Programs, Interior"
"CNCS","2022","Office of Procurement Services"
"GSA","2024","Office of Products and Programs"
"HHS","2024","Office of the Assistant Secretary for Health (OASH) - Family Planning"
"HHS","2024","Office of the Assistant Secretary for Health (OASH) - Minority HIV/AIDS Fund"
"HHS","2024","Office of the Assistant Secretary for Health (OASH) - Office on Women's Health"
"USDA","2023","Office of the Chief Economist (OCE) Salaries and Expenses"
"USDA","2023","Office of the Chief Information Officer (OCIO) Salaries and Expenses"
"HUD","2022","Office of the Chief Procurement Officer - Payments to Federal Contractors - Transformation Initiative"
"TREASURY","2023","Office of the Comptroller of the Currency - Assessment Funds"
"USDA","2023","Office of the General Counsel (OGC) Salaries and Expenses"
"USDA","2023","Office of the Inspector General (OIG) Salaries and Expenses"
"NARA","2023","Office of the Inspector General - National Archives & Records Administration"
"TREASURY","2023","Office of the Inspector General - Salaries and Expenses"
"HHS","2023","Office of the National Coordinator for Health Information Technology (ONC) Public Health Informatics & Technology (PHIT) Workforce Development Program"
"HHS","2023","Office of the National Coordinator for Health Information Technology (ONC) The ONC IIS HIE COVID-19 Data Management"
"DOC","2023","Office of the Secretary (OS)"
"DOC","2024","Office of the Secretary (OS) - Departmental Management"
"USDA","2023","Office of the Secretary (OSEC) Salaries and Expenses"
"DOT","2022","Office of the Secretary Aviation Manufacturing Jobs Protection Program"
"DOT","2023","Office of the Secretary Grant Programs"
"DOT","2023","Office of the Secretary Grant Programs - Allocation and Administered Accounts"
"DOT","2023","Office of the Secretary Loan Programs"
"DOT","2023","Office of the Secretary Salaries and Expenses"
"DOL","2022","Office of Workers' Compensation - Coal Mine Workers' Compensation"
"DOL","2023","Office of Workers' Compensation - Energy Employees Occupational Illness Compensation"
"DOL","2022","Office of Workers' Compensation - Longshore and Harbor Workers Compensation"
"DOI","2022","Offshore Safety and Environmental Enforcement, Bureau of Safety and Environmental Enforcement, Interior - 234E1700D2"
"DOI","2022","Oil Spill Research, Bureau of Safety and Environmental Enforcement, Interior"
"USAGM","2023","Open Technology Fund (OTF)"
"GSA","2024","Operating Expenses (Direct)"
"DOI","2022","Operation and Maintenance of Quarters, National Park Service, Interior"
"DOI","2023","Operation and Maintenance, Indian Irrigation Systems, Bureau of Indian Affairs (T), Interior - BIL 5240-A000"
"DOI","2022","Operation of Indian Education Programs, Bureau of Indian Education, Interior"
"DOI","2022","Operation of Indian Programs, Bureau of Indian Affairs and Bureau of Indian Education, Interior - BIL 221A2100S1, 221A2100S3"
"DOI","2022","Operation of the National Park System, National Park Service, Interior - IRA 20P10361B, 221P10361C, 221P10361D, 226P10361E"
"CFTC","2022","Operations and Administration"
"DOI","2022","Oregon and California Grant Lands, Bureau of Land Management, Interior"
"NASA","2023","Orion Program"
"OSC","2023","OSC - Investigation and Prosecution of Reprisals for Whistle Blowing"
"DOE","2024","Other - Department of Energy"
"VA","2024","Other Contracts, Services, Agreements, and Miscellaneous"
"DOI","2022","Outer Continental Shelf Revenues, Land and Water Conservation Fund (LWCF) Share from Certain Leases, National Park Service, Interior"
"NASA","2023","Outer Planets and Ocean Worlds"
"STATE","2022","Overseas Programs"
"DOI","2022","Park Concession Franchise Fees, National Park Service, Interior"
"NEA","2024","Partnership Agreements (State and Regional)"
"EEOC","2024","Pay and Benefits (Payroll)"
"DOI","2022","Payment to States for the Child Care and Development Block Grant, Administration for Children and Families, Health and Human Services, Bureau of Indian Affairs, Interior"
"DOI","2022","Payment to the United States Territories, Fiscal Assistance, Insular Affairs, Interior"
"DOI","2022","Payments for Tribal Leases, Bureau of Indian Affairs, Interior"
"DOI","2022","Payments in Lieu of Taxes, Departmental Management, Interior"
"NSF","2024","Payments to Employees"
"PBGC","2023","Payments to Federal Employees"
"DOI","2022","Payments to States in Lieu of Coal Fee Receipts, Office of Surface Mining Reclamation and Enforcement, Interior"
"FTC","2024","Payroll "
"CPSC","2024","Payroll - Consumer Product Safety Commission"
"EPA","2023","Payroll - Environmental Protection Agency"
"FERC","2024","Payroll - Federal Energy Regulatory Commission"
"NRC","2024","Payroll - Nuclear Regulatory Commission"
"OPM","2024","Payroll - Office of Personnel Management"
"SEC","2022","Payroll - Securities and Exchange Commission"
"TVA","2024","Payroll Program - Tennessee Valley Authority "
"STATE","2024","Peace-Keeping Operations Programs"
"DOI","2022","Permit Processing Fund, Bureau of Land Management, Interior"
"ED","2024","Personnel Compensation and Benefits"
"VA","2022","Pharmacy (Consolidated Mail Outpatient Pharmacies)"
"VA","2022","Pharmacy (Medical Facilities)"
"STATE","2022","Physical Security Programs"
"NASA","2023","Physics of the Cosmos"
"DOT","2023","Pipeline and Hazardous Materials Safety Administration Payments"
"NASA","2023","Planetary Defense"
"NASA","2023","Planetary Science Research"
"USAID","2024","PO.1 Program Development and Oversight/Program Design and Learning"
"USAID","2024","PO.2 Program Development and Oversight/Administration and Oversight"
"USAID","2024","PO.3 Program Development and Oversight/Evaluation"
"DOI","2022","Policy and Administration, Bureau of Reclamation, Interior"
"HUD","2023","Policy Development and Research - Research and Technology"
"STATE","2023","Population Refugees and Migration Programs"
"STATE","2022","Post-Assignment Travel"
"DOI","2023","Power Systems, Indian Irrigation Projects, Bureau of Indian Affairs, Interior - BIL 5648-A000"
"PBGC","2024","Premium Refunds"
"DOJ","2023","Prisons and Detention"
"VA","2022","Professional Services Contracts"
"ED","2022","Program of Protection and Advocacy of Individual Rights"
"STATE","2022","Project Construction - Major Rehabilitation"
"VA","2022","Prosthetics"
"USAID","2024","PS.1 Peace and Security/Counter-Terrorism"
"USAID","2024","PS.3 Peace and Security/Counter-Narcotics"
"USAID","2024","PS.4 Peace and Security/Transnational Threats and Crime"
"USAID","2024","PS.5 Peace and Security/Trafficking in Persons"
"USAID","2024","PS.6 Peace and Security/Conflict Mitigation and Stabilization"
"HUD","2023","Public and Indian Housing - Choice Neighborhoods Initiative"
"HUD","2024","Public and Indian Housing - Family Self-Sufficiency Program"
"HUD","2022","Public and Indian Housing - Indian Community Development Block Grants"
"HUD","2023","Public and Indian Housing - Native American Housing Block Grants"
"HUD","2023","Public and Indian Housing - Native Hawaiian Housing and Indian Home Loan Guarantee - Section 184 Program Account"
"HUD","2022","Public and Indian Housing - Public Housing Capital Fund"
"HUD","2023","Public and Indian Housing - Public Housing Operating Fund"
"EPA","2023","Purchase Cards - Environmental Protection Agency"
"GSA","2023","Purchase Cards - General Services Administration"
"NSF","2024","Purchase Cards - National Science Foundation"
"OPM","2022","Purchase Cards - Office of Personnel Management"
"USAGM","2023","Radio Free Asia (RFA)"
"USAGM","2024","Radio Free Europe (RFE/RL)"
"NASA","2023","Radioisotope Power"
"RRB","2023","Railroad Retirement Act"
"RRB","2022","Railroad Unemployment Insurance Act"
"ED","2022","Randolph-Sheppard - Financial Relief and Restoration Payments"
"ED","2022","Ready-To-Learn Television"
"DOI","2021","Reclamation Trust Funds, Bureau of Reclamation, Interior"
"DOI","2022","Reclamation Water Settlements Fund, Bureau of Reclamation, Interior"
"DOI","2022","Recreation Enhancement Fee Program, Bureau of Land Management, Interior"
"DOI","2022","Recreation Enhancement Fee Program, National Park Service, Interior"
"DOI","2022","Regulation and Technology, Office of Surface Mining Reclamation and Enforcement, Interior - Federal Regulatory and Reclamation Programs for Oklahoma - 223S180110, 234S180110"
"ED","2024","Rehabilitation Long-Term Training"
"ED","2022","Rehabilitation Services Client Assistance Program"
"ED","2022","Rehabilitation Services Independent Living Services for Older Individuals Who are Blind"
"ED","2024","Rehabilitation Services Vocational Rehabilitation Grants to States"
"NASA","2023","Reimbursable (RMB) Aeronautics Research Mission Directorate (ARMD) Programmatic Reimbursables"
"NASA","2023","Reimbursable (RMB) Exploration Systems Mission Directorate (ESMD) Programmatic Reimbursables"
"NASA","2023","Reimbursable (RMB) Science Mission Directorate (SCMD) Programmatic Reimbursables"
"NASA","2023","Reimbursable (RMB) Small Spacecraft Mission Service (SSMS) Institutional Reimbursables"
"NASA","2023","Reimbursable (RMB) Space Operations Mission Directorate (SOMD) Programmatic Reimbursables"
"NASA","2024","Reimbursable (RMB) Space Tech Programmatic Reimbursables"
"GSA","2024","Rental of Space"
"GSA","2024","Repairs and Alterations"
"ED","2022","Research in Special Education"
"USDA","2022","Research, Education, and Economics (REE) Salaries and Expenses"
"DOI","2024","Resource Management, United States Fish and Wildlife Service, Interior - BIL"
"DOI","2022","Resource Management, United States Fish and Wildlife Service, Interior - BIL 23XF1611WF, 23XF1611BC, 23XF1611BL"
"DOI","2024","Resource Management, United States Fish and Wildlife Service, Interior - IRA"
"SBA","2022","Restaurant Revitalization Fund"
"NASA","2023","Rocket Propulsion Testing (RPT)"
"USDA","2023","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs"
"USDA","2024","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs"
"USDA","2022","Rural Business-Cooperative Service (RBCS) Payment Assistance"
"USDA","2023","Rural Business-Cooperative Service (RBCS) Relending Programs"
"USDA","2023","Rural Development (RD) Salaries and Expenses"
"ED","2022","Rural Education"
"USDA","2022","Rural Housing Service (RHS) Community Facilities Community Program Grants"
"USDA","2024","Rural Housing Service (RHS) Community Facilities Direct Loans"
"USDA","2023","Rural Housing Service (RHS) Farm Labor Housing Loans (Section 514) and Grants (Section 516)"
"USDA","2023","Rural Housing Service (RHS) Housing Loans and Grants - Other"
"USDA","2023","Rural Housing Service (RHS) Multi Family Housing RD Voucher Program (Section 542)"
"USDA","2024","Rural Housing Service (RHS) Multi-Family Housing Preservation and Revitalization Demo Program"
"USDA","2022","Rural Housing Service (RHS) Multi-Family Housing Rental Assistance Program"
"USDA","2023","Rural Housing Service (RHS) Multi-Family Housing Rural Rental Housing Direct Loans (Section 515)"
"USDA","2022","Rural Housing Service (RHS) Single Family Housing Direct Loans"
"USDA","2024","Rural Housing Service (RHS) Single Family Housing Guaranteed Loans"
"USDA","2023","Rural Utilities Service (RUS) Broadband Telecom Loans - Treasury Rate"
"USDA","2023","Rural Utilities Service (RUS) Community Connect Grants"
"USDA","2024","Rural Utilities Service (RUS) Congressional Earmarked Funds"
"USDA","2023","Rural Utilities Service (RUS) Electric Loan Programs - Direct Treasury Rate"
"USDA","2022","Rural Utilities Service (RUS) Electric Loan Programs FFB Guaranteed Loans"
"USDA","2023","Rural Utilities Service (RUS) Rural Energy Savings Program"
"USDA","2023","Rural Utilities Service (RUS) Rural Telecommunications - Distance Learning and Telemedicine"
"USDA","2023","Rural Utilities Service (RUS) Rural Telecommunications - Infrastructure Investment and Jobs Act"
"USDA","2024","Rural Utilities Service (RUS) Rural Telecommunications - ReConnect Program"
"USDA","2023","Rural Utilities Service (RUS) Rural Telecommunications Loans - FFB Telecom Loans"
"USDA","2023","Rural Utilities Service (RUS) Rural Telecommunications Loans - Treasury Telecom Loan"
"USDA","2022","Rural Utilities Service (RUS) Water and Waste Disposal Loans and Grants Section 306C"
"USDA","2023","Rural Utilities Service (RUS) Water and Waste Disposal Systems for Rural Communities Grants"
"USDA","2022","Rural Utilities Service (RUS) Water and Waste Disposal Systems for Rural Communities Loans"
"USDA","2024","Rural Utilities Service (RUS) WEP Technical Assistance - Revolving"
"NASA","2023","Safety Engineering, Safety, & Operations"
"HUD","2023","Salaries and Expenses"
"DNFSB","2023","Salaries and Expenses (Direct)"
"USITC","2024","Salaries and expenses - US International Trade Commission"
"DOI","2022","Salaries and Expenses, Office of the Inspector General, Interior"
"DOI","2022","Salaries and Expenses, Office of the Solicitor, Interior"
"HHS","2021","SAMHSA Mental Health"
"HHS","2021","SAMHSA Substance Abuse Treatment"
"DOI","2023","San Gabriel Basin Restoration Fund, Department of the Interior, Bureau of Reclamation, Interior"
"SBA","2022","SBA Administrative Contracts"
"SBA","2022","SBA Administrative Payroll"
"SBA","2022","SBA Administrative Travel"
"ED","2022","School Improvement Grants"
"ED","2024","School Safety National Activities (formerly, Safe and Drug-Free Schools and Communities-National Programs)"
"DHS","2023","Science and Technology Directorate (S&T) - Operations & Support"
"DHS","2023","Science and Technology Directorate (S&T) - Research & Development"
"NASA","2021","Science Construction of Facilities (CoF)"
"NASA","2023","Science, Technology, Engineering and Mathematics (STEM) Engagement"
"SBA","2024","Section 1112 Payments"
"FCC","2023","Secured & Trusted Communications Network Reimbursement Program (STCNRP)"
"STATE","2022","Security - Afghanistan, Pakistan"
"DOI","2022","Selis-Qlispe Ksanka Settlement Trust Fund"
"DOI","2022","Service Charges, Deposits and Forfeitures, Bureau of Land Management, Interior"
"VA","2022","Service-Disabled Veterans Insurance"
"VA","2024","Servicemembers' Group Life Insurance"
"EPA","2024","Settlements - Environmental Protection Agency"
"VA","2022","Shared Services"
"EXIM","2023","Short-term Authorizations"
"SBA","2022","Shuttered Venue Operators Grant Program"
"SBA","2022","Small Business Development Center (SBDC)"
"NASA","2023","Small Business Innovation Research and Small Business Technology Transfer (SBIR/STTR)"
"SBA","2022","Small Business Investment Companies Advances"
"NASA","2023","Solar Terrestrial Probes"
"DOI","2022","Southern Nevada Public Land Management, Bureau of Land Management, Interior"
"NASA","2023","Space Communications & Navigation"
"NASA","2023","Space Launch System (SLS)"
"NASA","2023","Space Operations Construction of Facilities (CoF)"
"NASA","2023","Space Weather"
"ED","2022","Special Education - Personnel Development to Improve Services and Results for Children with Disabilities"
"ED","2022","Special Education - Special Olympics Education Programs"
"ED","2022","Special Education - State Personnel Development"
"ED","2022","Special Education Educational Technology Media, and Materials for Individuals with Disabilities"
"ED","2024","Special Education Grants to States"
"ED","2022","Special Education Parent Information Centers"
"ED","2022","Special Education Preschool Grants"
"ED","2022","Special Education Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities"
"ED","2022","Special Education Technical Assistance on State Data Collection"
"ED","2024","Special Education-Grants for Infants and Families"
"TREASURY","2022","Special Inspector General for Troubled Asset Relief Program"
"GSA","2024","Special Services and Improvements"
"VA","2023","Specially Adaptive Housing"
"VA","2022","Spina Bifida Health Care"
"DOI","2022","Sport Fish Restoration Account, U.S. Fish and Wildlife Service, Interior"
"DOI","2022","State and Tribal Wildlife Grants, U.S. Fish and Wildlife Service, Interior"
"VA","2022","State Home Per Diem"
"SBA","2022","State Trade Expansion Program"
"DOJ","2023","State, Local, Tribal, and Other Assistance"
"ED","2022","Statewide Family Engagement Centers"
"ED","2021","Statewide Longitudinal Data Systems"
"VA","2023","Station 101 Accounting"
"ED","2022","Strengthening Minority-Serving Institutions"
"ED","2023","Student Support and Academic Enrichment Program"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Alcohol and Substance Abuse Prevention"
"HHS","2022","Substance Abuse and Mental Health Services Administration (SAMHSA) Congressional Directive Spending Projects"
"HHS","2022","Substance Abuse and Mental Health Services Administration (SAMHSA) National Suicide Prevention Lifeline Expansion"
"DOI","2022","Supplemental Payments to United Mine Workers of America (UMWA) Health Plans, Office of Surface Mining Reclamation and Enforcement, Interior"
"SEC","2022","Supplemental Retirement - Securities and Exchange Commission"
"TVA","2024","Supply Chain "
"VA","2023","Supply Fund"
"ED","2022","Supported Employment Services for Individuals with the Most Significant Disabilities"
"ED","2022","Supporting Effective Educator Development Program"
"ED","2024","Supporting Effective Instruction State Grants (formerly Improving Teacher Quality State Grants)"
"DOI","2023","Surveys, Investigations, and Research, Geological Survey, Interior - BIL 224G0804ID, 22XG0804ID, 235G0804ID"
"ED","2023","Teacher and School Leader Incentive Grants (formerly the Teacher Incentive Fund)"
"ED","2023","Teacher Education Assistance for College and Higher Education Grant (TEACH)"
"ED","2022","Teacher Quality Partnership Grants"
"DFC","2024","Technical Assistance Program "
"NASA","2023","Technology Demonstration"
"NASA","2023","Technology Maturation"
"GSA","2024","Technology Transformation Service"
"USAGM","2023","Technology, Services and Innovation (TSI)"
"FCC","2022","Telecommunications Relay Service"
"DOI","2022","Temporary Assistance for Needy Families, Interior"
"STATE","2023","Temporary Duty Travel"
"TREASURY","2024","The Mint - United States Mint Public Enterprise Fund"
"CNCS","2024","The Retired and Senior Volunteer Program (RSVP)"
"CNCS","2024","The Senior Companion Program (SCP)"
"MCC","2023","Threshold Programs"
"ED","2024","Title I Grants to Local Educational Agencies"
"ED","2022","Title I State Agency Program for Neglected and Delinquent Children and Youth"
"DOI","2022","Training and Employment Services, Employment and Training Administration, Interior"
"NASA","2023","Transformative Aeronautics Concepts Program"
"ED","2022","Transition Programs for Students with Intellectual Disabilities into Higher Education"
"VA","2023","Transportation of Things"
"DHS","2022","Transportation Security Administration (TSA) - Operations & Support: Aviation Screening Operations"
"DHS","2022","Transportation Security Administration (TSA) - Operations & Support: Mission Support"
"DHS","2022","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement"
"DHS","2022","Transportation Security Administration (TSA) - Operations & Support: Other Operations and Enforcement - Disaster Supplemental Funds"
"DHS","2022","Transportation Security Administration (TSA) - Payroll, Compensation, & Benefits"
"DHS","2022","Transportation Security Administration (TSA) - Payroll, Compensation, & Benefits - Disaster Supplemental Funds"
"DHS","2022","Transportation Security Administration (TSA) - Procurement, Construction, and Improvements: Aviation Screening Infrastructure"
"DHS","2023","Transportation Security Administration (TSA) - Research & Development"
"DOI","2022","Transportation Systems Fund, National Park Service, Interior"
"EPA","2023","Travel - Environmental Protection Agency"
"GSA","2024","Travel Cards"
"DOD","2023","Travel Pay - U.S. Army Corps of Engineers (USACE)"
"DOD","2024","Travel Pay Department of Air Force (DAF) - Reserve Travel System (RTS)"
"DOD","2024","Travel Pay Marine Corps - MARINE CORPS TOTAL FORCE SYSTEM (MCTFS)"
"GSA","2024","Travel, Transportation, and Logistics Categories (TTL) Flow-Thru"
"TREASURY","2023","Treasury Inspector General for Tax Administration"
"ED","2024","Tribally Controlled Postsecondary Career and Technical Institutions"
"ED","2022","TRIO Educational Opportunity Centers"
"ED","2022","TRIO McNair Post-Baccalaureate Achievement"
"ED","2022","TRIO Student Support Services"
"ED","2022","TRIO Talent Search"
"ED","2022","TRIO Upward Bound"
"DOI","2022","Trust Land Consolidation Fund, Bureau of Trust Funds Administration, Interior"
"FCC","2023","TV Broadcasting Relocation Fund"
"ED","2024","Twenty-First Century Community Learning Centers"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Adjudication Services"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Administration"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Application Processing"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify)"
"DHS","2021","U.S. Citizenship and Immigration Services (USCIS) - Employment Status Verifications (E-Verify) Three Year"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Federal Assistance"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Immigrant Examinations Fee Account"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Information Customer Services"
"DHS","2024","U.S. Citizenship and Immigration Services (USCIS) - Systemic Alien Verification for Entitlements (SAVE)"
"DHS","2023","U.S. Customs and Border Protection (CBP) - Border Security Fencing"
"DHS","2021","U.S. Customs and Border Protection (CBP) - Miscellaneous"
"DHS","2023","U.S. Customs and Border Protection (CBP) - Operations and Support"
"DHS","2023","U.S. Customs and Border Protection (CBP) - PR and VI Programs"
"DHS","2024","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements"
"DHS","2022","U.S. Customs and Border Protection (CBP) - Procurement, Construction, and Improvements - Disaster Supplemental Funds"
"DHS","2024","U.S. Customs and Border Protection (CBP) - Refund and Drawback"
"DOC","2023","U.S. Patent and Trademark Office"
"DOC","2023","U.S. Patent and Trademark Office (USPTO) - Patents and Trademarks"
"DHS","2024","U.S. Secret Service (USSS) - Contribution for Annuity Benefits"
"DHS","2022","U.S. Secret Service (USSS) - Field Operations"
"DHS","2024","U.S. Secret Service (USSS) - Procurement, Construction, & Improvement"
"DHS","2022","U.S. Secret Service (USSS) - Protection"
"DHS","2024","U.S. Secret Service (USSS) - Training"
