"Agency","Program_or_Activity","Confirmed_Fraud","Fiscal_Year"
"FTC","","0.0000000000","2024"
"GCRC","","0.0000000000","2022"
"GCRC","","0.0000000000","2023"
"GCRC","","0.0000000000","2024"
"GSA","","46.7800000000","2023"
"GSA","","115.2700000000","2022"
"GSA","","193.6700000000","2024"
"GSA","Acquisition Services Fund - Operating","0.0000000000","2021"
"GSA","Acquisition Workforce Training","0.0000000000","2021"
"GSA","Administrative","1.0000000000","2020"
"GSA","Allowances, Pensions, and Office Staff","0.0000000000","2021"
"GSA","Assisted Acquisition Services (AAS)","0.0000000000","2021"
"GSA","Audit Contracts and Contract Administration","0.0000000000","2021"
"GSA","Building Operations","0.0000000000","2021"
"GSA","Civil","6.2000000000","2020"
"GSA","Civil Results","74.0500000000","2018"
"GSA","Civil Results","74.4257000000","2017"
"GSA","Civil results: Recoveries/Forfeitures","0.0020000000","2019"
"GSA","Civil Results: Settlements","59.3410000000","2019"
"GSA","Common Acquisition Platform (CAP)","0.0000000000","2021"
"GSA","Construction and Acquisition of Facilities","0.0000000000","2021"
"GSA","Criminal","82.7000000000","2020"
"GSA","Criminal Results","16.1400000000","2018"
"GSA","Criminal Results","26.3054000000","2017"
"GSA","Criminal Results: Recoveries/Forfeitures","46.1950000000","2019"
"GSA","Criminal Results: Restituation","4.8220000000","2019"
"GSA","Data Driven Innovation","0.0000000000","2021"
"GSA","Digital Services","0.0000000000","2021"
"GSA","Direct Program Activity","0.0000000000","2021"
"GSA","Disaster Emergency Funds","0.0000000000","2021"
"GSA","Electronic Government","0.0000000000","2021"
"GSA","Employee Payments - General Services Administration","0.0000000000","2021"
"GSA","Environmental Review Improvement","0.0000000000","2021"
"GSA","Federal Buildings and Courthouses","0.0000000000","2021"
"GSA","Federal Citizen Services Fund (Reimbursable)","0.0000000000","2021"
"GSA","General Supplies and Services (GSS)","0.0000000000","2021"
"GSA","Government-wide Policy","0.0000000000","2021"
"GSA","Government-wide Policy (Reimbursable)","0.0000000000","2021"
"GSA","High-Performance Green Buildings - Major Repairs & Alterations","0.0000000000","2021"
"GSA","Information Technology Category","0.0000000000","2021"
"GSA","Installment Acquisition Payments","0.0000000000","2021"
"GSA","Integrated Award Environment","0.0000000000","2021"
"GSA","IT Modernization and Development","0.0000000000","2021"
"GSA","ITOR Oversight, Cybersecurity and Program Management","0.0000000000","2021"
"GSA","Land Ports of Entry","0.0000000000","2021"
"GSA","Lapsed Balances","0.0000000000","2021"
"GSA","Non-Judicial Recoveries","7.0500000000","2018"
"GSA","Non-Judicial Recoveries","20.7398000000","2017"
"GSA","Non-Judicial Recoveries FAR Disclosure Settlements²","11.4260000000","2019"
"GSA","Office of Products and Programs","0.0000000000","2021"
"GSA","Operating Expenses (Direct)","0.0000000000","2021"
"GSA","Operating Expenses (Reimbursable)","0.0000000000","2021"
"GSA","Pre-Election Transition","0.0000000000","2021"
"GSA","Presidential Transition","0.0000000000","2021"
"GSA","Purchase Cards - General Services Administration","0.0000000000","2021"
"GSA","Real Property Relocation","0.0000000000","2021"
"GSA","Real Property Utilization and Disposal","0.0000000000","2021"
"GSA","Reimbursable Program Activity","0.0000000000","2021"
"GSA","Rental of Space","0.0000000000","2021"
"GSA","Repairs and Alterations","0.0000000000","2021"
"GSA","Space Management","0.0000000000","2021"
"GSA","Special Services and Improvements","0.0000000000","2021"
"GSA","Technology Transformation Service","0.0000000000","2021"
"GSA","Travel, Transportation, and Logistics Categories (TTL) Flow-Thru","0.0000000000","2021"
"GSA","Unconditional Gifts","0.0000000000","2021"
"GSA","Working Capital Fund (Direct)","0.0000000000","2021"
"GSA","Working Capital Fund (Reimbursable)","0.0000000000","2021"
"HHS","","1400.0000000000","2022"
"HHS","","2760.0000000000","2024"
"HHS","","3160.0000000000","2023"
"HHS","Administration for Children and Families (ACF) - Adoption Assistance","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Child Care and Development Fund","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Child Welfare Research Training or Demonstration","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Community Services Block Grant","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Discretionary","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Foster Care Title IV-E","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Guardianship Assistance","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Head Start","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Head Start Disaster Recovery","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Healthy Marriage Promotion and Responsible Fatherhood Grants","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Low-Income Home Energy Assistance","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","0.0000000000","2021"
"HHS","Administration for Children and Families (ACF) - Unaccompanied Alien Children Program","0.0000000000","2021"
"HHS","Administration for Community Living (ACL) - State Aging Formula Programs","0.0000000000","2021"
"HHS","Agency for Healthcare Research and Quality (AHRQ) - Medical Expenditure Panel Survey","0.0000000000","2021"
"HHS","Agency-wide","4250.0000000000","2020"
"HHS","Agency-wide","5210.0000000000","2019"
"HHS","ASPR Public Health and Social Services Emergecy Fund Salaries and Benefits - Disaster Relief","0.0000000000","2021"
"HHS","ASPR Public Health Emergency and Social Services Emergency Fund MITRE Support Contract - Disaster Relief","0.0000000000","2021"
"HHS","CDC Disaster Relief","0.0000000000","2021"
"HHS","CDC Office of Operations","0.0000000000","2021"
"HHS","Centers for Disease Control and Prevention (CDC) Office of Readiness and Response","0.0000000000","2021"
"HHS","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","0.0000000000","2021"
"HHS","Centers for Medicare & Medicaid Services (CMS) - Medicaid","0.0000000000","2021"
"HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","0.0000000000","2021"
"HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","0.0000000000","2021"
"HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","0.0000000000","2021"
"HHS","Centers for Medicare & Medicaid Services (CMS) Medicare Fee-for-Service (FFS) - Accelerated and Advance Payment Program","0.0000000000","2021"
"HHS","Centers for Medicare & Medicaid Services (CMS) Quality Activities (Medicare Fee-for-Service)","0.0000000000","2021"
"HHS","Food and Drug Administration (FDA) - Center for Biologics","0.0000000000","2021"
"HHS","Food and Drug Administration (FDA) - Center for Devices and Radiological Health","0.0000000000","2021"
"HHS","Food and Drug Administration (FDA) - GSA Rental Payments","0.0000000000","2021"
"HHS","Food and Drug Administration (FDA) - Human Drugs","0.0000000000","2021"
"HHS","Food and Drug Administration (FDA) - Other Rent and Rent Related Activities","0.0000000000","2021"
"HHS","Food and Drug Administration (FDA) - Working Capital Fund","0.0000000000","2021"
"HHS","Health and Human Services (HHS)","2880.0000000000","2021"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care","0.0000000000","2021"
"HHS","Health Resources and Services Administration (HRSA) - Primary Health Care Health Centers and Free Clinics","0.0000000000","2021"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund General and Targeted","0.0000000000","2021"
"HHS","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","0.0000000000","2021"
"HHS","HHS","2860.0000000000","2018"
"HHS","HHS Total","5980.0000000000","2017"
"HHS","Indian Health Service (IHS) Clinical Services - Testing, Tracing, Containment, Mitigation, and Related Activities (Transfer from Public Health Emergency and Social Services Emergency Fund) - Disaster Relief","0.0000000000","2021"
"HHS","Indian Health Service (IHS) Testing, Contact Tracing, Monitoring, and Mitigation - Disaster Relief","0.0000000000","2021"
"HHS","National Institutes of Health (NIH) - National Cancer Institute","0.0000000000","2021"
"HHS","National Institutes of Health (NIH) Small Business Innovation Research","0.0000000000","2021"
"HHS","OASH Public Health Service Evaluation Set-Aside Program","0.0000000000","2021"
"HHS","ONC Integrating the Healthcare Enterprise USA","0.0000000000","2021"
"HHS","ONC Trusted Exchange Framework Common Agreement","0.0000000000","2021"
"HHS","SAMHSA Mental Health","0.0000000000","2021"
"HHS","SAMHSA Substance Abuse Treatment","0.0000000000","2021"
"HUD","","0.0000000000","2022"
"HUD","","0.0000000000","2024"
"HUD","","30.5200000000","2023"
"HUD","ARRA Homelessness Prevention and Rapid Re-Housing Program","0.0868330000","2019"
"HUD","ARRA Project Based Rental Assistance","0.0522416900","2019"
"HUD","CDBG - Entitlement","0.1020605000","2020"
"HUD","CDBG - Entitlement","0.1624079500","2018"
"HUD","CDBG - Entitlement","0.4851942900","2019"
"HUD","CDBG - Entitlement","1.3530134800","2017"
"HUD","CDBG - Entitlement1","0.3631725400","2018"
"HUD","CDBG Disaster Recovery Assistance","0.5350114200","2019"
"HUD","CDBG Disaster Recovery Assistance","1.6585061300","2017"
"HUD","CDBG Disaster Recovery Assistance","3.4616941000","2020"
"HUD","CDBG Disaster Recovery Assistance1","0.2959396200","2018"
"HUD","CDBG Non-Entitlement for States and Small Cities","0.0843080000","2019"
"HUD","Community Planning and Development - American Recovery and Reinvestment Act of 2009 (ARRA) Community Development Fund","0.0000000000","2021"
"HUD","Community Planning and Development - Appalachian Regional Commission Projects","0.0000000000","2021"
"HUD","Community Planning and Development - Capacity Building","0.0000000000","2021"
"HUD","Community Planning and Development - Community Development Block Grant - Disaster Recovery Assistance - Sandy","0.8637553000","2021"
"HUD","Community Planning and Development - Community Development Block Grants","0.3587483000","2021"
"HUD","Community Planning and Development - Community Development Loan Guarantees- Section 108","0.0000000000","2021"
"HUD","Community Planning and Development - Congressional Earmarks - Economic Development Initiative - Special Projects/Neighborhood Initiatives","0.0000000000","2021"
"HUD","Community Planning and Development - Department of Transportation Surface Transportation Projects","0.0000000000","2021"
"HUD","Community Planning and Development - Disaster Recovery Assistance (Louisiana, Texas, West Virginia, Hurricane IKE, Other Disasters)","0.1880000000","2021"
"HUD","Community Planning and Development - Economic Development Initiative/Brownfields Redevelopment Economic Development Initiative","0.0000000000","2021"
"HUD","Community Planning and Development - HOME Investment Partnerships Program","0.0869290000","2021"
"HUD","Community Planning and Development - Homeless Assistance Grants","0.6691570000","2021"
"HUD","Community Planning and Development - Homeless Prevention Rapid Re-Housing","0.0000000000","2021"
"HUD","Community Planning and Development - Housing Opportunities for Persons with AIDS","0.0000000000","2021"
"HUD","Community Planning and Development - Housing Trust Fund","0.0000000000","2021"
"HUD","Community Planning and Development - Nehemiah Housing Opportunity Grants","0.0000000000","2021"
"HUD","Community Planning and Development - Neighborhood Initiatives Program","0.0000000000","2021"
"HUD","Community Planning and Development - Neighborhood Stabilization Program","0.0000000000","2021"
"HUD","Community Planning and Development - Project Based Section 8 (Renewal of Expiring Section 8 Mod Rehab Single Room Occupancy)","0.0000000000","2021"
"HUD","Community Planning and Development - Public Laws 115-123, 115-56, and 115-72","0.0000000000","2021"
"HUD","Community Planning and Development - Rural Housing and Economic Development","0.0000000000","2021"
"HUD","Community Planning and Development - Rural Innovation Fund","0.0000000000","2021"
"HUD","Community Planning and Development - Self-Help Homeownership Opportunity Program","0.0000000000","2021"
"HUD","Community Planning and Development - Sustainable Communities Initiative Program","0.0000000000","2021"
"HUD","Community Planning and Development - Veterans Housing Rehab Program","0.0000000000","2021"
"HUD","Competitive - ARRA Native American Housing Block Grant Program1","0.1070550000","2018"
"HUD","Competitive EDI Grants","0.0000000000","2019"
"HUD","Disaster Recovery Assistance","2.3703301600","2019"
"HUD","Disaster Recovery Assistance1","0.1577139700","2018"
"HUD","Emergency Shelter Grants Program","0.0779772000","2017"
"HUD","ESG Grants","0.0751080000","2020"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Assistance Program","0.0000000000","2021"
"HUD","Fair Housing and Equal Opportunity - Fair Housing Initiatives Program","0.0000000000","2021"
"HUD","Federal Housing Administration - Contracts/Grants (includes Single Family Upfront Grants)","0.0000000000","2021"
"HUD","Federal Housing Administration - Federal Finance Bank Direct Loans","0.0000000000","2021"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage Claims","0.6944500000","2021"
"HUD","Federal Housing Administration - Home Equity Conversion Mortgage Notes","0.0000000000","2021"
"HUD","Federal Housing Administration - Multi-Family Insurance Claims","0.0000000000","2021"
"HUD","Federal Housing Administration - Multi-Family Notes","0.0000000000","2021"
"HUD","Federal Housing Administration - Multi-Family Premium Refunds","0.0000000000","2021"
"HUD","Federal Housing Administration - Multi-Family Property","0.0000000000","2021"
"HUD","Federal Housing Administration - Other Disbursements","0.0000000000","2021"
"HUD","Federal Housing Administration - Single Family Claims","12.1410989200","2021"
"HUD","Federal Housing Administration - Single Family Notes","0.0000000000","2021"
"HUD","Federal Housing Administration - Single Family Premium Refunds - Distributive Shares and Refund System","0.0000000000","2021"
"HUD","Federal Housing Administration - Single Family Property (Single Family Acquired Asset Management System)","0.0250210000","2021"
"HUD","Federal Housing Administration - Title I Claims","0.0000000000","2021"
"HUD","Federal Housing Administration - Title I Notes","0.0000000000","2021"
"HUD","FHA-Home Affordable Modification Program (FHA-HAMP)","0.0000000000","2019"
"HUD","FHA-Home Affordable Modification Program (FHA-HAMP)","2.5978158200","2020"
"HUD","Ginnie Mae","0.1082400000","2019"
"HUD","Ginnie Mae - Contractor Payments","0.0000000000","2021"
"HUD","Ginnie Mae - Master Sub-Servicer Default Activity","0.0000000000","2021"
"HUD","Ginnie Mae - Pass Through Assistance Program (PTAP)","0.0000000000","2021"
"HUD","Ginnie Mae - Refunds Program","0.0000000000","2021"
"HUD","Ginnie Mae - Soldiers' and Sailors' Civil Relief Act Program Reimbursement and Multi-Family 1% Reimbursement Program","0.0000000000","2021"
"HUD","Ginnie Mae - Unclaimed Security Holder Payments","0.0000000000","2021"
"HUD","GNMA I","2.5000000000","2020"
"HUD","Good Neighbor Next Door","0.0000000000","2019"
"HUD","Good Neighbor Next Door","0.0520000000","2020"
"HUD","HECM - Section 255 Home Equity Conversion Mortgage Program","0.2493000000","2017"
"HUD","HERA NSP1","0.0497500000","2017"
"HUD","Home Equity Conversion Mortgage (HECM) (Section 255)","0.0035263900","2019"
"HUD","Home Equity Conversion Mortgage (HECM) (Section 255)","1.0515129900","2020"
"HUD","Home Equity Conversion Mortgage (HECM) (Section 255)1","1.1384930000","2018"
"HUD","HOME Program: HOME Investment Partnerships","0.0500000000","2017"
"HUD","Homeownership Voucher Program","0.0211544000","2017"
"HUD","Homeownership Voucher Program","0.0453370000","2019"
"HUD","Homeownership Voucher Program","0.1071460000","2020"
"HUD","HOPE VI: Revitalization of Severely Distressed Public Housing","1.7670760000","2020"
"HUD","HOPWA","0.3219612900","2019"
"HUD","Housing - College Housing Debt Service Grants","0.0000000000","2021"
"HUD","Housing - Emergency Homeowners' Loan Program - Direct Loan Financing Account","0.0000000000","2021"
"HUD","Housing - Emergency Homeowners' Relief Fund","0.0000000000","2021"
"HUD","Housing - Energy Innovation Fund","0.0000000000","2021"
"HUD","Housing - Flexible Subsidy","0.0000000000","2021"
"HUD","Housing - Green Retrofit Program for Multi-Family Housing - Recovery Act","0.0000000000","2021"
"HUD","Housing - Housing Counseling Assistance","0.0000000000","2021"
"HUD","Housing - Housing for Special Populations - Capital Advance portion of expenditures, Section 202","0.0000000000","2021"
"HUD","Housing - Housing for the Elderly or Handicapped - Direct Loan Liquidating Account - Section 202","0.0000000000","2021"
"HUD","Housing - Manufactured Housing","0.0000000000","2021"
"HUD","Housing - Multi-Family Upfront Grants - General Insurance and Special Risk Insurance Fund","0.0000000000","2021"
"HUD","Housing - Project-Based Rental Assistance Section 8 Moderate Rehabilitation","0.0000000000","2021"
"HUD","Housing - Rent Supplement","0.0000000000","2021"
"HUD","Housing - Rental Housing Assistance Program - Project Based Rental Assistance - Project Based Section 8 - Rental Housing Assistance Program - Section 236 -Housing for Persons with Disability - Section 811","0.2276719600","2021"
"HUD","Housing - Rental Housing Assistance Program - Section 236","0.0000000000","2021"
"HUD","Housing - Section 811 Housing for Persons with Disabilities (Project Rental Assistance Contract and Capital Advance)","0.0000000000","2021"
"HUD","Housing Choice Voucher Program","0.3288640000","2018"
"HUD","Housing Choice Voucher Program","5.6992276200","2020"
"HUD","Housing Choice Voucher Program","9.6814173500","2019"
"HUD","Housing Choice Voucher Program","16.7424116300","2017"
"HUD","Housing Choice Voucher Program1","4.6260340900","2018"
"HUD","HUD Professional Standards","0.0240000000","2020"
"HUD","Indian Community Development Block Grant (ICDBG) Program","0.1050000000","2018"
"HUD","Indian Housing Block Grant (IHBG) Program","0.0058100000","2019"
"HUD","Indian Housing Block Grant (IHBG) Program","0.0375000000","2017"
"HUD","Investigations","0.0290020000","2017"
"HUD","Lead Hazard Control and Lead Hazard Reduction Demonstration Grants","0.0533260700","2019"
"HUD","Loss Mitigation","0.0417250500","2019"
"HUD","Loss Mitigation","2.5502559600","2020"
"HUD","Loss Mitigation","3.4696500000","2017"
"HUD","Loss Mitigation1","5.8534070800","2018"
"HUD","Mortgage Insurance for Cooperative Housing (Section 213)","0.3435188800","2017"
"HUD","Mortgage Insurance for One- to Four-Family Homes (Section 203(b))1","34.2968233500","2018"
"HUD","Mortgage Insurance for Purchase or Refinance of Existing Multifamily Rental Housing (Sections 207 and 223(f))","16.0534973700","2018"
"HUD","Mortgage Insurance for Purchase or Refinance of Existing Multifamily Rental Housing (Sections 207 and 223(f))","18.2194000000","2017"
"HUD","Mortgage Insurance for Rental Housing for Urban Renewal and Concentrated Development Areas (Section 220)","0.0000000000","2019"
"HUD","Multifamily Rental Housing for Moderate-Income Families (Section 221(d)(3) and (4))","0.1239450000","2017"
"HUD","Multifamily Rental Housing for Moderate-Income Families (Section 221(d)(3) and (4))","0.2088504300","2019"
"HUD","Multifamily Rental Housing for Moderate-Income Families (Section 221(d)(3) and (4))","4.6088354000","2018"
"HUD","Multifamily Rental Housing for Moderate-Income Families (Section 221(d)(3) and (4))1","0.2105720000","2018"
"HUD","Neighborhood Stabilization Program 2","0.2672420000","2019"
"HUD","Neighborhood Stabilization Program 21","0.0352800000","2018"
"HUD","New Construction or Substantial Rehabilitation of Nursing Homes, Intermediate Care Facilities, Board and Care Homes, and","0.0000000000","2019"
"HUD","New Construction or Substantial Rehabilitation of Nursing Homes, Intermediate Care Facilities, Board and Care Homes, and","0.5053621500","2020"
"HUD","Office of Healthy Homes Lead Hazard Control - Lead Hazard Reduction","0.0000000000","2021"
"HUD","Office of Native American Programs - ONAP","0.0296770000","2017"
"HUD","Office of Native American Programs - ONAP1","0.0844188800","2018"
"HUD","Office of the Chief Procurement Officer - Payments to Federal Contractors - Transformation Initiative","0.0000000000","2021"
"HUD","Policy Development and Research - Research and Technology","0.0000000000","2021"
"HUD","Project-Based Voucher Program","0.1482800000","2020"
"HUD","Project-Based Voucher Program","0.2423880000","2018"
"HUD","Project-Based Voucher Program","0.2933460900","2019"
"HUD","Project-Based Voucher Program","0.8475066300","2017"
"HUD","Project-Based Voucher Program1","0.5775029700","2018"
"HUD","Property Improvement Loan Insurance (Title I)","0.5557770000","2019"
"HUD","Public and Indian Housing - Choice Neighborhoods Initiative","0.0000000000","2021"
"HUD","Public and Indian Housing - Disaster - Federal Emergency Management Agency Disaster Housing Assistance Program","0.0000000000","2021"
"HUD","Public and Indian Housing - Family Self-Sufficiency Program","0.0000000000","2021"
"HUD","Public and Indian Housing - Indian Community Development Block Grants","0.0000000000","2021"
"HUD","Public and Indian Housing - Native American Housing Block Grants","0.0000000000","2021"
"HUD","Public and Indian Housing - Native Hawaiian Housing and Indian Home Loan Guarantee - Section 184 Program Account","0.0000000000","2021"
"HUD","Public and Indian Housing - Native Hawaiian Housing Block Grants","0.0000000000","2021"
"HUD","Public and Indian Housing - Permanent Supportive Housing","0.0000000000","2021"
"HUD","Public and Indian Housing - Public Housing Capital Fund","0.0018551700","2021"
"HUD","Public and Indian Housing - Public Housing Capital Fund","0.0887350000","2020"
"HUD","Public and Indian Housing - Public Housing Capital Fund","0.7871372700","2019"
"HUD","Public and Indian Housing - Public Housing Capital Fund","0.9917962300","2017"
"HUD","Public and Indian Housing - Public Housing Capital Fund","3.9814944200","2018"
"HUD","Public and Indian Housing - Public Housing Operating Fund","0.2750729600","2021"
"HUD","Public and Indian Housing - Public Housing Operating Fund","0.7697374800","2019"
"HUD","Public and Indian Housing - Public Housing Operating Fund","1.0614460300","2020"
"HUD","Public and Indian Housing - Public Housing Operating Fund","1.8260059200","2018"
"HUD","Public and Indian Housing - Public Housing Operating Fund","14.9720880700","2017"
"HUD","Public and Indian Housing - Rental Housing Assistance Program - Tenant Based Rental Assistance - Section 8 - Housing Certificate Fund & Tenant Based Rental Assistance","5.6686589400","2021"
"HUD","Public and Indian Housing - Revitalization of Severely Distressed Public Housing (HOPE VI)","0.0000000000","2021"
"HUD","Public and Indian Housing - Title VI Indian Federal Guarantees","0.0000000000","2021"
"HUD","Public Housing Capital Fund1","0.7845807300","2018"
"HUD","Rehabilitation Loan Mortgage Insurance (Section 203(k))","0.0250000000","2020"
"HUD","Rehabilitation Loan Mortgage Insurance (Section 203(k))1","0.0042000000","2018"
"HUD","Renewal of Section 8 Project-Based Rental Assistance","0.0110350000","2019"
"HUD","Renewal of Section 8 Project-Based Rental Assistance","0.1997390000","2017"
"HUD","Renewal of Section 8 Project-Based Rental Assistance","0.2373585500","2018"
"HUD","Renewal of Section 8 Project-Based Rental Assistance","0.2416396300","2017"
"HUD","REO - Section 204g Single Family Property Disposition Program","0.1561941200","2017"
"HUD","Resident Opportunity and Self-Sufficiency (ROSS) Program","0.0867663000","2019"
"HUD","Resident Opportunity and Self-Sufficiency (ROSS) Program","0.0928769700","2018"
"HUD","Revitalization of Severely Distressed Public Housing (HOPE VI)","0.0344870000","2017"
"HUD","Salaries and Expenses","0.0000000000","2021"
"HUD","Secretary's Regulation of Fannie Mae and Freddie Mac","0.5567249500","2017"
"HUD","Section 106 Housing Counseling Grants","0.6117405500","2019"
"HUD","Section 106 Housing Counseling Grants","3.7867345400","2017"
"HUD","Section 106 Housing Counseling Grants1","2.2405264700","2018"
"HUD","Section 202 Supportive Housing for the Elderly","0.1542223600","2017"
"HUD","Section 203b One-to-Four-Family Home Mortgage Insurance","40.6609883800","2018"
"HUD","Section 203b One-to-Four-Family Home Mortgage Insurance","77.9867447200","2020"
"HUD","Section 203b One-to-Four-Family Home Mortgage Insurance","83.7180360700","2019"
"HUD","Section 203b One-to-Four-Family Home Mortgage Insurance","145.4926328900","2017"
"HUD","Section 203k Rehabilitation Loan Insurance","0.0255735600","2017"
"HUD","Section 234c Mortgage Insurance for Condominium Units","96.1531487900","2017"
"HUD","Sex Offender","0.1177480000","2020"
"HUD","Sex Offender","0.1786300000","2019"
"HUD","Shelter Plus Care","0.1044431100","2017"
"HUD","Shelter Plus Care (S+C)","0.9073812200","2019"
"HUD","Shelter Plus Care (S+C)1","0.7381800000","2018"
"HUD","Single Family Property Disposition Program (Section 204(g))","0.1051960400","2019"
"HUD","Single Family Property Disposition Program (Section 204(g))","0.1908188400","2018"
"HUD","Single Family Property Disposition Program (Section 204(g))","1.1025885300","2020"
"HUD","Single Family Property Disposition Program (Section 204(g))1","1.1156556100","2018"
"HUD","State Administered CDBG","0.0236710000","2020"
"HUD","Supportive Housing for Persons with Disabilities (Section 811)1","0.2228398800","2018"
"HUD","Supportive Housing Program","0.0598762900","2017"
"HUD","Supportive Housing Program","0.2119810000","2020"
"HUD","Supportive Housing Program1","0.0610450000","2018"
"IMLS","","0.0000000000","2023"
"IMLS","","0.0000000000","2024"
"MCC","","0.0000000000","2022"
"MCC","","0.0000000000","2023"
"MCC","","0.0000000000","2024"
"MCC","614(g) of the Millennium Challenge Act of 2003","0.0000000000","2021"
"MCC","Administrative Expenses - Millennium Challenge Corporation","0.0000000000","2021"
"MCC","Audit","0.0000000000","2021"
"MCC","Compact Assistance","0.0000000000","2021"
"MCC","Compact Development Funding","0.0000000000","2021"
"MCC","Due Diligence","0.0000000000","2021"
"MCC","Global Health","0.0000000000","2021"
"MCC","Threshold Programs","0.0000000000","2021"
"MSPB","","0.0000000000","2022"
"MSPB","","0.0000000000","2023"
"MSPB","","0.0000000000","2024"
"NARA","","0.0000000000","2022"
"NARA","","0.0000000000","2023"
"NARA","","0.0000000000","2024"
"NARA","Administrative OH","0.0005224800","2018"
"NARA","Administrative Overhead","0.0000000000","2021"
"NARA","Agency Services","0.0000000000","2021"
"NARA","Agency Services","0.0123254400","2018"
"NARA","Legislative Archives, Presidential Libraries, and Museum Services","0.0000000000","2021"
"NARA","Legislative Archives, Presidential Libraries, and Museum Services","0.0000000000","2021"
"NARA","National Historical Publications and Records Commission (NHPRC) Grants","0.0000000000","2021"
"NARA","Office of the Inspector General - National Archives & Records Administration","0.0000000000","2021"
"NARA","Research Services","0.0000000000","2021"
"NASA","","1.4400000000","2022"
"NASA","","2.9200000000","2024"
"NASA","","4.1700000000","2023"
"NASA","Advanced Cislunar and Surface Capabilities","0.0000000000","2021"
"NASA","Advanced Exploration Systems (AES)","0.0000000000","2021"
"NASA","Aeronautics Strategy and Management","0.0000000000","2021"
"NASA","Aeronautics Test Program","0.0000000000","2021"
"NASA","Aerosciences Evaluation and Test Capabilities (AETC) Program","0.0000000000","2021"
"NASA","Agency Information Technology (IT) Services","0.0000000000","2021"
"NASA","Agency Management","0.0000000000","2021"
"NASA","Agency Tech Authority","0.0000000000","2021"
"NASA","Agency Technology and Innovation (AT&I)","0.0000000000","2021"
"NASA","Airspace Systems","0.0000000000","2021"
"NASA","Ames Research Center (ARC)","0.0000000000","2021"
"NASA","Armstrong Flight Reach Center (AFRC)","0.0000000000","2021"
"NASA","Astrophysics Explorer","0.0000000000","2021"
"NASA","Astrophysics Research","0.0000000000","2021"
"NASA","Aviation Safety Program","0.0000000000","2021"
"NASA","Biological and Physical Sciences (BPS)","0.0000000000","2021"
"NASA","Center Engineering Safety & Operations","0.0000000000","2021"
"NASA","Commercial Crew Program","0.0000000000","2021"
"NASA","Commercial Low Earth Orbit (LEO) Development Program","0.0000000000","2021"
"NASA","Communications Services","0.0000000000","2021"
"NASA","Discovery","0.0000000000","2021"
"NASA","Earth Science Data Systems (ESDS)","0.0000000000","2021"
"NASA","Earth Science Research","0.0000000000","2021"
"NASA","Enhanced Use Lease Program","0.0000000000","2021"
"NASA","Environmental Compliance and Restoration","0.0000000000","2021"
"NASA","Exoplanet Exploration","0.0000000000","2021"
"NASA","Exploration Construction of Facilities (CoF)","0.0000000000","2021"
"NASA","Exploration Ground Systems (EGS)","0.0000000000","2021"
"NASA","Exploration Technology Development Program (ETDP)","0.0000000000","2021"
"NASA","False Certifications - NAS10-99005, NNK05LB04B","6.0000000000","2020"
"NASA","False Certifications - NAS10-99005, NNK05LB04B","18.6043640000","2020"
"NASA","False Certifications - NNG14WA44C","0.0067177500","2020"
"NASA","Gateway","0.0000000000","2021"
"NASA","Glenn Research Center (GRC)","0.0000000000","2021"
"NASA","Goddard Space Flight Center (GSFC)","0.0000000000","2021"
"NASA","Grant Fraud - NNX11AJ85G, NNX11AJ85G, NNX11AM93G, NNX12AC72G, NNX12AQ76G","0.0320854500","2020"
"NASA","Human Landing System","0.0000000000","2021"
"NASA","Information Tech (IT)","0.0000000000","2021"
"NASA","Infrastructure & Technical Capabilities","0.0000000000","2021"
"NASA","Inspector General (IG) Program","0.0000000000","2021"
"NASA","Institutional Construction of Facilities (CoF)","0.0000000000","2021"
"NASA","Institutions and Management","0.0000000000","2021"
"NASA","Integrated Aviation Systems Program","0.0000000000","2021"
"NASA","Integrated System Research","0.0000000000","2021"
"NASA","Johnson Space Center (JSC)","0.0000000000","2021"
"NASA","Kennedy Space Center (KSC)","0.0000000000","2021"
