"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"HHS","2023","Centers for Disease Control and Prevention (CDC) Office of Public Health Data, Surveillance, and Technology","0","","No","No"
"HHS","2023","Centers for Disease Control and Prevention (CDC) Office of Readiness and Response","0","","No","No"
"HHS","2023","Centers for Disease Control and Prevention (CDC) Vaccines for Children","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part A)","0","","Yes","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part B)","0","","Yes","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Administration (Innovation)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Advance Premium Tax Credit (APTC)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Basic Health Program","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Bundled Payments for Care Improvement Advanced Model","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Children's Health Insurance Program (CHIP)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Coronavirus Supplemental","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - ESRD Networks","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Exchange Program Integrity","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Federal Administration (Medicare Fee-for-Service)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Federal Exchange Operations","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Financial Alignment Initiative for Medicare-Medicaid Enrollees","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Home Health Service Prior Authorization","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Integrated Care for Kids Model","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Kidney Care Choices (Benefits)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Kidney Care Choices Model","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Learning Networks","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Maryland Total Cost of Care (Benefits)","0","","Yes","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Maryland Total Cost of Care Model","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicaid Adult Quality Measures","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicaid Integrity Program","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicaid Program Integrity","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicaid","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare Fee-for-Service (FFS)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare Independence at Home (Benefits)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare Operations Anomaly","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare Program Integrity","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare Shared Savings (Hospital Insurance)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare Shared Savings (Supplementary Medical Insurance)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Medicare-Medicaid Coordination","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Money Follows the Person Demonstration","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Navigator Grants","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - No Surprises Act Implementation Fund","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Oncology Care Model (Benefits)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Over the Counter COVID-19 Test Benefits","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Primary Care First (Benefits)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Primary Care First Model Options","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Private Insurance Innovation Waivers","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Private Insurance Risk Adjustment Program","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Program Operations (Medicare Fee-for-Service)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Administration","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Beneficiary and Family Centered Care","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Clinical Quality Improvement","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - SNF Infection Control Support","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Quality Improvement Organizations - Support Contracts","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Quality Measure Endorsement","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Research (Medicare Fee-for-Service)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - State Strike Teams for Resident & Employee Safety","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Strike Teams for Resident & Employee Safety","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Survey and Certification (Grants to States for Medicaid)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Survey and Certification (Medicare Fee-for-Service)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) - Temporary High Risk Health Insurance Pool Program","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Accountable Health Communities Model","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Consumer Operated and Oriented Plan","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Coronavirus Supplemental Survey","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Demonstration to Increase Substance Abuse Providers","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Direct Contracting (Innovation)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Implementation Funding (Medicare Fee-for-Service)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Maternal Opioid Misuse Model","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Oncology Care Model","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Quality Activities (Medicare Fee-for-Service)","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) State Exchange Modernization Program","0","","No","No"
"HHS","2023","Centers for Medicare & Medicaid Services (CMS) Vaccine Distribution & Related Activities","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Animal Drugs and Feed","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Buildings and Facilities","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Center for Biologics","0","","Yes","No"
"HHS","2023","Food and Drug Administration (FDA) - Center for Devices and Radiological Health","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Coronavirus Emergency Funding Supplemental","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - CURES Activities","0","","Yes","No"
"HHS","2023","Food and Drug Administration (FDA) - Foods","0","","Yes","No"
"HHS","2023","Food and Drug Administration (FDA) - GSA Rental Payments","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Human Drugs","0","","Yes","No"
"HHS","2023","Food and Drug Administration (FDA) - National Center for Toxicological Research","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Opioids - International Mail Facilities (IMF)","0","","Yes","No"
"HHS","2023","Food and Drug Administration (FDA) - Other Headquarters Activities","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Other Rent and Rent Related Activities","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Payment to FDA Innovation","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Reimbursable Program - Federal Sources","0","","Yes","No"
"HHS","2023","Food and Drug Administration (FDA) - User fees (Non General Fund)","0","","No","No"
"HHS","2023","Food and Drug Administration (FDA) - Working Capital Fund","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Compensation Claims for Post-FY 1989 Injuries","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) – COVID-19 Claims Reimbursement to Health Care Providers and Facilities for Testing, Treatment, and Vaccine Administration for the Uninsured Program (UIP)","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Health Care Systems","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Health Workforce (Mandatory)","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Health Workforce","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Discretionary)","0","","Yes","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal & Child Health (Mandatory)","0","","Yes","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Maternal, Infant, and Early Childhood Home Visiting Programs","0","","Yes","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Primary Health Care Health Centers and Free Clinics","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Primary Health Care","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Program Management","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Provider Relief Fund General and Targeted","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Provider Relief Fund Uninsured","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Reimbursable","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Rural Health","0","","No","No"
"HHS","2023","Health Resources and Services Administration (HRSA) - Ryan White HIV/AIDS","0","","No","No"
"HHS","2023","Indian Health Service (IHS) -  Purchased/Referred Care (Clinical Services)","0","","Yes","No"
"HHS","2023","Indian Health Service (IHS) - Contract Support Costs","0","","No","No"
"HHS","2023","Indian Health Service (IHS) - Hospitals and Health Clinics (Clinical Services)","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - Buildings and Facilities","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - Eunice K. Shriver National Institute of Child Health and Human Development","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - Fogarty International Center","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Cancer Institute Frederick National Laboratory for Cancer Research/Federally Funded Research and Development Centers","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Cancer Institute","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Center for Advancing Translational Sciences","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Center for Complementary and Integrative Health","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Eye Institute","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Heart, Lung, and Blood Institute","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Human Genome Research Institute","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Allergy and Infectious Diseases","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Arthritis and Musculoskeletal and Skin Diseases","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Biomedical Imaging and Bioengineering","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Dental and Craniofacial Research","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Diabetes and Digestive and Kidney Diseases","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Environmental Health Sciences","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of General Medical Sciences","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Mental Health","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute of Neurological Disorders and Stroke","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Aging","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Alcohol Abuse and Alcoholism","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Deafness and Communication Disorders","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Drug Abuse","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Minority Health and Health Disparities","0","","Yes","No"
"HHS","2023","National Institutes of Health (NIH) - National Institute on Nursing Research","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - National Library of Medicine","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) - Office of the Director","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) National Institute of Allergy and Infectious Diseases (NIAID)","0","","No","No"
"HHS","2023","National Institutes of Health (NIH) National Institute of Environmental Health Sciences (NIEHS)","0","","No","No"
"HHS","2023","Office of the National Coordinator for Health Information Technology (ONC) Public Health Informatics & Technology (PHIT) Workforce Development Program","0","","Yes","No"
"HHS","2023","Office of the National Coordinator for Health Information Technology (ONC) The ONC IIS HIE COVID-19 Data Management","0","","Yes","No"
"HHS","2023","Office of the Secretary (OS) Office of the National Coordinator for Health Information Technology (ONC) Public Health Informatics & Technology (PHIT) Workforce Development Program","0","","No","No"
"HHS","2023","Office of the Secretary (OS) Office of the National Coordinator for Health Information Technology (ONC) The ONC IIS HIE COVID-19 Data Management","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Certified Community Behavioral Health Clinics","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Disaster Relief","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Homelessness Prevention Programs","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Linking Actions for Unmet Needs in Children's Health (Project LAUNCH)","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - Projects for the Assistance in Transition from Homelessness","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) - State Opioid Response","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Alcohol and Substance Abuse Prevention","0","","Yes","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Emergency Grants to Address Mental and Substance Use Disorders During COVID-19 - Disaster Relief","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Health Surveillance and Program Support","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Mental Health","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Substance Abuse Prevention","0","","No","No"
"HHS","2023","Substance Abuse and Mental Health Services Administration (SAMHSA) Substance Abuse Treatment","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Adoption and Legal Guardianship Incentive Payments","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Adoption Assistance","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Adoption Opportunities","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Affordable Care Act (ACA) Personal Responsibility Education Program","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Assistance for Torture Victims","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Basic Center Grant","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Chafee Education and Training Vouchers Program (ETV)","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Child Abuse and Neglect Discretionary Activities","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Child Abuse and Neglect State Grants","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Child Care and Development Fund","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Child Support Enforcement Research","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Child Support Enforcement","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Child Welfare Research Training or Demonstration","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Children's Justice Grants to States","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Community Services Block Grant Discretionary Awards","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Community Services Block Grant","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Community-Based Child Abuse Prevention Grants","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Congressional Directives","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Enhance Safety of Children Affected by Substance Abuse","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Every Student Succeeds Act/Preschool Development Grants","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Discretionary","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/Domestic Violence Shelter and Supportive Services","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Family Violence Prevention and Services/State Domestic Violence Coalitions","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Foster Care Title IV-E","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Grants to States for Access and Visitation Programs","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Grants to Support Survivors of Sexual Assault (American Rescue Plan)","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Guardianship Assistance","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Head Start","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Healthy Marriage Promotion and Responsible Fatherhood Grants","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - John H. Chafee Foster Care Program for Successful Transition to Adulthood","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Low-Income Home Energy Assistance","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - MaryLee Allen Promoting Safe and Stable Families Program","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Native American Programs","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Payments to Territories - Adults","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Promote the Survival and Continuing Vitality of Native American Languages","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Discretionary Grants","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance State/Replacement Designee Administered Programs","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Voluntary Agency Programs","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Refugee and Entrant Assistance Wilson/Fish Program","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Services to Victims of a Severe Form of Trafficking","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Sexual Risk Avoidance Education","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Social Services Block Grant","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Social Services Research and Demonstration","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - State Court Improvement Program","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Stephanie Tubbs Jones Child Welfare Services Program","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Temporary Assistance for Needy Families","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Title IV-E Kinship Navigator Program","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Title IV-E Prevention Program","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Title V Sexual Risk Avoidance Education Program (Discretionary Grants)","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Title V State Sexual Risk Avoidance Education (Title V State SRAE) Program","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Transitional Living for Homeless Youth","0","","No","No"
"HHS","2024","Administration for Children and Families (ACF) - Tribal Maternal, Infant, and Early Childhood Home Visiting","0","","Yes","No"
"HHS","2024","Administration for Children and Families (ACF) - Unaccompanied Alien Children Program","0","","Yes","No"
"HHS","2024","Administration for Community Living (ACL) - Aging Discretionary Programs","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - Alzheimers Programs","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - Assistive Technology Programs","0","","Yes","No"
"HHS","2024","Administration for Community Living (ACL) - Court Improvement Program (CIP) Discretionary Programs","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - Court Improvement Program (CIP) Formula Programs","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - Developmental Disabilities (DD) Council Formula Program","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - Disabilities Discretionary Programs","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - Independent Living Programs","0","","Yes","No"
"HHS","2024","Administration for Community Living (ACL) - Nutrition Services Incentive Program (NSIP) Formula Program","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - Protection & Advocacy Programs","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - State Aging Formula Programs","0","","No","No"
"HHS","2024","Administration for Community Living (ACL) - Tribal Aging Formula Program","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Biomedical Advanced Research and Development Authority Contract Management and Acquisitions and Business Planning and Strategy","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Biomedical Advanced Research and Development Authority Management Operations","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Biomedical Advanced Research and Development Authority Medical Countermeasures Program Support Services","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Biomedical Advanced Research and Development Authority Medical Countermeasures Program","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Analytics, Data, and IT","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Operations Technical Assistance","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Planning and Operational Coordination","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Security and Assurance","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - HHS Coordination and Response Element Supply, Production, and Distribution","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Advanced Manufacturing Technologies","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Defense Production Act and Emergency Response Authorities","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Optimization","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Personal Protective Equipment and Durable Medical Equipment","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Industrial Base Management and Supply Chain Testing and Diagnostics","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Administration Acquisitions","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Administration Finance","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Preparedness Programs Health Care Readiness","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Preparedness Programs Security and Intelligence","0","","No","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Community Mitigation and Recovery","0","","Yes","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs National Disaster Medical System","0","","Yes","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Regional Response","0","","Yes","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Office of Response Programs Response Logistics","0","","Yes","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile Logistics","0","","Yes","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile Management and Business Operations","0","","Yes","No"
"HHS","2024","Administration for Strategic Preparedness and Response (ASPR) - Strategic National Stockpile National Readiness and Response","0","","Yes","No"
"HHS","2024","Agency for Healthcare Research and Quality (AHRQ) - Medical Expenditure Panel Survey","0","","Yes","No"
"HHS","2024","Agency for Healthcare Research and Quality (AHRQ) - Program Support","0","","No","No"
"HHS","2024","Agency for Healthcare Research and Quality (AHRQ) - Research on Health Costs, Quality, and Outcomes","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Center for Preparedness and Response","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Global Health Center","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Chronic Disease Prevention and Health Promotion (NCCDPHP)","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Emerging and Zoonotic Infectious Diseases (NCEZID)","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Environmental Health (NCEH)/Agency for Toxic Substances and Disease Registry (ATSDR)","0","","Yes","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Health Statistics (NCHS)","0","","Yes","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for HIV, Viral Hepatitis, STD, and TB Prevention","0","","Yes","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Immunization and Respiratory Diseases (NCIRD)","0","","Yes","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for Injury Prevention and Control (NCIPC)","0","","Yes","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center for State, Tribal, Local, and Territorial Public Health Infrastructure and Workforce","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Center on Birth Defects and Developmental Disabilities (NCBDDD)","0","","Yes","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - National Institute for Occupational Safety and Health (NIOSH)","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Communications","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Health Equity","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Laboratory Science and Safety (OLSS)","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Policy, Performance, and Evaluation","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of Science","0","","Yes","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of the Chief of Staff","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of the Chief Operating Officer","0","","No","No"
"HHS","2024","Centers for Disease Control and Prevention (CDC) - Office of the Director","0","","No","No"
"HHS","2024","Centers for Medicare & Medicaid Services (CMS) - ACO REACH (Medicare Part A)","0","","No","No"
