"Fiscal_Year","Agency","Program_Name","Column_names","Multiselect_Text","Question","Section","Reporting_Phases_Current_FY"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","cyp7_atp1_8","Training","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp7_atp1_8","","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp7_app1_8","","[cyp7_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp6_app1_8","Training","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp6_atp1_8","Training","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp2_app1_8","","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp2_atp1_8","","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","DOD","Military Pay - Department of Air Force","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control",""
"2023","DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","cyp7_atp1_8","Change Process","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","DHS","Federal Emergency Management Agency (FEMA) - Hazard Mitigation Grant Program - Disaster Supplemental Funds","cyp7_atp1_8","Audit","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp7_atp1_8","","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp7_app1_8","","[cyp7_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp6_atp1_8","","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp6_app1_8","","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DOD","Civilian Pay – Army","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DOD","Civilian Pay – Army","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","FCC","Universal Service Fund - Schools and Libraries","cyp5_app1_8","","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","cyp3_atp1_8","Change Process","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","cyp3_atp1_8","Cross Enterprise Sharing","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp5_atp1_8","Training","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp5_app1_8","Training","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","FCC","Universal Service Fund - Schools and Libraries","cyp5_atp1_8","","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","cyp3_app1_8","Cross Enterprise Sharing","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","cyp3_app1_8","Change Process","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","cyp3_app1_8","Audit","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","cyp3_atp1_8","Training","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Prescription Drug Benefit (Part D)","cyp3_atp1_8","Audit","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","VA","Medical Care Contracts and Agreements","cyp6_app1_8","Change Process","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","VA","Medical Care Contracts and Agreements","cyp6_atp1_8","Training","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","VA","Medical Care Contracts and Agreements","cyp6_atp1_8","Change Process","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2023","VA","Medical Care Contracts and Agreements","cyp7_app1_8","Change Process","[cyp7_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2023","VA","Medical Care Contracts and Agreements","cyp7_atp1_8","Change Process","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_atp1_8","Change Process","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_atp1_8","Audit","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_atp1_8","Predictive Analytics","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_atp1_8","Training","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DOD","Civilian Pay – Army","cyp5_atp1_8","","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DOD","Civilian Pay – Army","cyp5_app1_8","","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_app1_8","Audit","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_atp1_8","Cross Enterprise Sharing","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_atp1_8","Automation","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_app1_8","Audit","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_app1_8","Training","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp5_app1_8","Change Process","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","FCC","Universal Service Fund - Schools and Libraries","cyp6_atp1_8","","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","FCC","Universal Service Fund - Schools and Libraries","cyp6_app1_8","","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_atp1_8","Audit","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_atp1_8","Training","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","VA","Communications, Utilities, and Other Rent","cyp2_app1_8","","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp3_atp1_8","Training","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","FCC","Universal Service Fund - Schools and Libraries","cyp7_app1_8","","[cyp7_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","FCC","Universal Service Fund - Schools and Libraries","cyp7_atp1_8","","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","VA","Communications, Utilities, and Other Rent","cyp2_atp1_8","Change Process","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DOD","Civilian Pay – Army","cyp6_atp1_8","Training","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DOD","Civilian Pay – Army","cyp6_app1_8","Training","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","DOD","Civilian Pay – Army","cyp7_app1_8","Training","[cyp7_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","cyp2_atp1_8","","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","cyp2_app1_8","","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DOD","Civilian Pay – Army","cyp7_atp1_8","Training","[cyp7_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Unknown Payments. (Unit- Selected =Yes, Not Selected=No)","Unknown Payments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp5_app1_8","Audit","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp5_app1_8","Training","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp5_atp1_8","Training","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp5_atp1_8","Audit","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments","Phase 2"
"2023","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program Plus (WHIP+)","cyp5_atp1_8","Training","[cyp5_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments",""
"2024","VA","Communications, Utilities, and Other Rent","cyp3_atp1_8","","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","VA","Communications, Utilities, and Other Rent","cyp3_app1_8","","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DOL","Office of Workers' Compensation - Federal Employees' Compensation Act","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2023","USDA","Farm Service Agency (FSA) Wildfires and Hurricanes Indemnity Program Plus (WHIP+)","cyp5_app1_8","Training","[cyp5_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Underpayments. (Unit – Selected =Yes, Not Selected=No)","Underpayments",""
"2023","SBA","7(a) Loan Guarantees Purchases","cyp2_app1_8","Training","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2023","SBA","7(a) Loan Guarantees Purchases","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp6_atp1_8","","[cyp6_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","cyp2_app1_8","","[cyp2_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayments within the agency's control. (Unit – Selected =Yes, Not Selected=No): ","Overpayments Within Agency Control","Phase 2"
"2024","USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Family Day Care Homes (FDCH) - Tiering Decisions","cyp2_atp1_8","","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_app1_8","Training","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_app1_8","Audit","[cyp3_app1_8]Select the type(s) of corrective Actions the program PLANS TO USE to mitigate Overpayment Outside of the agency's control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_atp1_8","Training","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2023","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp3_atp1_8","Audit","[cyp3_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Outside of the Agency's Control. (Unit- Selected =Yes, Not Selected=No)","Overpayments Outside Agency Control",""
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp2_atp1_8","Training","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp2_atp1_8","Automation","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp2_atp1_8","Cross Enterprise Sharing","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp2_atp1_8","Change Process","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp2_atp1_8","Audit","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","DHS","Federal Emergency Management Agency (FEMA) - Funeral Assistance","cyp2_atp1_8","Predictive Analytics","[cyp2_atp1_8]Select the type(s) of corrective Actions TAKEN during this reporting period to mitigate Overpayments Within the agency's control. (Unit – Selected =Yes, Not Selected=No):  [atp1] Automation [atp2] Behavioral/Psych Influence [atp3] Training [atp4] Change Process [atp5] Cross Enterprise Sharing [atp6] Audit [atp7] Predictive Analytics [atp8] Statutory Change","Overpayments Within Agency Control","Phase 2"
"2024","HHS","Centers for Medicare & Medicaid Services (CMS) - Medicare Advantage (Part C)","cyp6_app1_8","","[cyp6_app1_8]Select the type(s) of corrective Actions PLANNED during this reporting period to mitigate Technically Improper Payments. (Unit- Selected =Yes, Not Selected=No)","Technically Improper Payments","Phase 2"
